model,use_static_covariates,use_covariates,use_features,use_encoders,sample_weight,input_chunk_length,hidden_size,ff_size,num_blocks,dropout,norm_type,batch_size,n_epochs,normalize_before,activation,optimizer,optimizer_kwargs.lr,optimizer_kwargs.weight_decay,WIS_1,WIS_2,WIS_3,WIS,WIS_std,error_flag,error_msg
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,412.09258303831746,627.2206663890046,466.00480385776757,501.7726844283632,91.39485405615694,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,416.54994858912954,452.0564371615994,641.5876762286549,503.3980206597946,98.7841531230825,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,416.3325205643482,440.46619234173255,446.01678298104963,434.2718319623768,12.885817376425843,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,530.3221030299876,730.9808633121618,545.7116499635569,602.3382054352354,91.18080795114388,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,636.7964165972513,402.97994077988335,439.0627043419409,492.9463539063585,102.77847329312749,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,629.5039398948355,578.5171048521449,437.0088931695127,548.343312638831,81.43066193944897,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,617.1747704081632,587.4506564972928,408.7188277019992,537.781418202485,92.06427080023563,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,619.7572227717618,431.8988697417743,587.088451426489,546.2481813133417,81.94972421336949,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,489.63357129841734,548.1093510516451,625.0388224958351,554.2605816152992,55.44981960321949,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,506.96123815597673,474.39730633069564,603.4180979279466,528.258880804873,54.78310781555072,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,808.0292913109123,438.99004256039154,480.191201842982,575.7368452380953,165.11454460147112,False,
tsmixer,False,True,False,True,linear,8,64,32,4,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,496.09669356518117,721.7784097771762,472.30482259995836,563.3933086474385,112.41557862358864,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,513.1661055289462,457.51763171595167,462.4334365889213,477.70572461127307,25.154459452313638,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,467.8151020408163,500.35785180653886,524.8144403373594,497.66246472823815,23.347804681773173,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,496.08565506559773,648.2983407955019,464.96224945335285,536.4487484381508,80.1037455516502,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,430.69608470428994,476.607578743232,455.8633679977093,454.38901048174375,18.77226000930835,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,446.76072678050815,529.5800503696377,411.1534408840067,462.4980726780509,49.61158131249672,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.0001,468.75058100791347,477.14896423365263,511.9873974385672,485.96231422671116,18.719186722711715,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0,442.13341342149107,489.19932463036236,683.779628930654,538.3707889941692,104.59954763521061,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.001,454.45376705018737,441.3737670501874,470.5594175603915,455.46231722025544,11.936315149160091,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.005,0.0001,522.9661771137027,518.1175715847564,523.1787623646397,521.420837021033,2.3373731736150978,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0,626.6172952675969,760.9587256611829,580.3637289150355,655.979916614605,76.59530386697385,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.001,649.8759771970014,447.47629555393587,585.5071217721783,560.9531315077052,84.43372790038526,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.0005,0.0001,505.5732848292378,461.0309039202416,633.1396451999168,533.2479446497987,72.93727809269355,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0,557.5875199135777,525.1016992919616,686.2563438411079,589.6485210155491,69.58752622266856,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.001,540.8472646813829,740.7022819918784,475.981793653686,585.8437801089825,112.6580342954507,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.001,0.0001,651.6344391659725,774.329710407122,798.8996912744689,741.6212802825211,64.4160677189404,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0,609.2313183309037,686.7044515306122,574.0349332309454,623.3235676974871,47.06413147771324,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.001,646.1286358548522,577.7900907174094,710.6047871980426,644.8411712567681,54.22901482988094,False,
tsmixer,False,True,False,True,linear,8,64,32,6,0.2,TimeBatchNorm2d,32,1000,False,ReLU,AdamW,0.005,0.0001,566.9294044148272,557.8452116305706,668.5503682059559,597.7749947504512,50.182970255256926,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0,472.05289137338605,600.0672377394836,497.0242648896293,523.0481313341662,55.40667491332986,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.001,585.5834149833403,579.1521317940441,520.1488573771346,561.628134718173,29.44756002813946,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.0005,0.0001,571.1262883954603,547.0755851728447,590.8765191586839,569.692797575663,17.9103624838768,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0,544.2129259943774,468.49255388379834,542.1950700229071,518.3001833003609,35.228945454494514,False,
tsmixer,False,True,False,True,linear,8,64,64,4,0.2,TimeBatchNorm2d,32,500,False,ReLU,AdamW,0.001,0.001,402.85458884319036,564.1130177530197,453.4251762286547,473.4642609416216,67.34114101952197,False,
